year,LineCode,airport,gdp
2011-01-01,76.0,MSP,2033482.0
2011-01-01,79.0,MSP,4424753.0
2011-01-01,82.0,MSP,4163373.0
2011-01-01,83.0,MSP,19489631.0
2011-01-01,,MSP,
2011-01-01,87.0,MSP,1135323.0
2011-01-01,88.0,MSP,
2011-01-01,89.0,MSP,
2011-01-01,90.0,MSP,37657698.0
2011-01-01,91.0,MSP,35486047.0
2011-01-01,92.0,MSP,142417190.0
2011-01-01,1.0,JFK,1309742851.0
2011-01-01,1.0,LGA,1309742851.0
2011-01-01,1.0,EWR,1309742851.0
2011-01-01,2.0,JFK,1183680934.0
2011-01-01,2.0,LGA,1183680934.0
2011-01-01,2.0,EWR,1183680934.0
2011-01-01,3.0,JFK,
2011-01-01,3.0,LGA,
2011-01-01,3.0,EWR,
2011-01-01,6.0,JFK,
2011-01-01,6.0,LGA,
2011-01-01,6.0,EWR,
2011-01-01,10.0,JFK,
2011-01-01,10.0,LGA,
2011-01-01,10.0,EWR,
2011-01-01,11.0,JFK,34108294.0
2011-01-01,11.0,LGA,34108294.0
2011-01-01,11.0,EWR,34108294.0
2011-01-01,12.0,JFK,
2011-01-01,12.0,LGA,
2011-01-01,12.0,EWR,
2011-01-01,13.0,JFK,
2011-01-01,13.0,LGA,
2011-01-01,13.0,EWR,
2011-01-01,25.0,JFK,42304919.0
2011-01-01,25.0,LGA,42304919.0
2011-01-01,25.0,EWR,42304919.0
2011-01-01,34.0,JFK,
2011-01-01,34.0,LGA,
2011-01-01,34.0,EWR,
2011-01-01,35.0,JFK,61023497.0
2011-01-01,35.0,LGA,61023497.0
2011-01-01,35.0,EWR,61023497.0
2011-01-01,36.0,JFK,
2011-01-01,36.0,LGA,
2011-01-01,36.0,EWR,
2011-01-01,45.0,JFK,107146592.0
2011-01-01,45.0,LGA,107146592.0
2011-01-01,45.0,EWR,107146592.0
2011-01-01,50.0,JFK,402872382.0
2011-01-01,50.0,LGA,402872382.0
2011-01-01,50.0,EWR,402872382.0
2011-01-01,51.0,JFK,202480109.0
2011-01-01,51.0,LGA,202480109.0
2011-01-01,51.0,EWR,202480109.0
2011-01-01,56.0,JFK,200392273.0
2011-01-01,56.0,LGA,200392273.0
2011-01-01,56.0,EWR,200392273.0
2011-01-01,59.0,JFK,191979839.0
2011-01-01,59.0,LGA,191979839.0
2011-01-01,59.0,EWR,191979839.0
2011-01-01,60.0,JFK,125798181.0
2011-01-01,60.0,LGA,125798181.0
2011-01-01,60.0,EWR,125798181.0
2011-01-01,64.0,JFK,30802120.0
2011-01-01,64.0,LGA,30802120.0
2011-01-01,64.0,EWR,30802120.0
2011-01-01,65.0,JFK,35379538.0
2011-01-01,65.0,LGA,35379538.0
2011-01-01,65.0,EWR,35379538.0
2011-01-01,68.0,JFK,115872639.0
2011-01-01,68.0,LGA,115872639.0
2011-01-01,68.0,EWR,115872639.0
2011-01-01,69.0,JFK,21578430.0
2011-01-01,69.0,LGA,21578430.0
2011-01-01,69.0,EWR,21578430.0
2011-01-01,70.0,JFK,94294210.0
2011-01-01,70.0,LGA,94294210.0
2011-01-01,70.0,EWR,94294210.0
2011-01-01,75.0,JFK,50624158.0
2011-01-01,75.0,LGA,50624158.0
2011-01-01,75.0,EWR,50624158.0
2011-01-01,76.0,JFK,19904202.0
