AIRPORT_SEQ_ID,AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,
1524401,TKU,"Turku, Finland",Finland,,
1524402,TKU,"Turku, Finland",Finland,,
1524501,TLA,"Teller, AK",United States,Alaska,
1524502,TLA,"Teller, AK",United States,Alaska,
1524601,TLC,"Toluca, Mexico",Mexico,,
1524602,TLC,"Toluca, Mexico",Mexico,,
1524603,TLC,"Toluca, Mexico",Mexico,,
1524604,TLC,"Toluca, Mexico",Mexico,,
1524605,TLC,"Toluca, Mexico",Mexico,,
1524701,TLE,"Tulear, Madagascar",Madagascar,,
1524702,TLE,"Tulear, Madagascar",Madagascar,,
1524801,TLF,"Telida, AK",United States,Alaska,
1524802,TLF,"Telida, AK",United States,Alaska,
1524803,TLF,"Telida, AK",United States,Alaska,
1524804,TLF,"Telida, AK",United States,Alaska,
1524805,TLF,"Telida, AK",United States,Alaska,
1524901,TLH,"Tallahassee, FL",United States,Florida,
1524902,TLH,"Tallahassee, FL",United States,Florida,
1524903,TLH,"Tallahassee, FL",United States,Florida,
1524904,TLH,"Tallahassee, FL",United States,Florida,
1524905,TLH,"Tallahassee, FL",United States,Florida,
1524906,TLH,"Tallahassee, FL",United States,Florida,
1525001,TLJ,"Tatalina, AK",United States,Alaska,
1525002,TLJ,"Tatalina, AK",United States,Alaska,
1525003,TLJ,"Tatalina, AK",United States,Alaska,
1525004,TLJ,"Tatalina, AK",United States,Alaska,
1525005,TLJ,"Tatalina, AK",United States,Alaska,
1525006,TLJ,"Tatalina, AK",United States,Alaska,
1525201,TLL,"Tallinn, U.S.S.R.",U.S.S.R.,,
1525202,TLL,"Tallinn, Estonia",Estonia,,
1525203,TLL,"Tallinn, Estonia",Estonia,,
1525204,TLL,"Tallinn, Estonia",Estonia,,
1525205,TLL,"Tallinn, Estonia",Estonia,,
1525206,TLL,"Tallinn, Estonia",Estonia,,
1525207,TLL,"Tallinn, Estonia",Estonia,,
1525208,TLL,"Tallinn, Estonia",Estonia,,
1525209,TLL,"Tallinn, Estonia",Estonia,,
1525301,TLM,"Tlemcen, Algeria",Algeria,,
1525302,TLM,"Tlemcen, Algeria",Algeria,,
1525401,TLN,"Toulon/Hyeres, France",France,,
1525402,TLN,"Toulon/Hyeres, France",France,,
1525403,TLN,"Toulon/Hyeres, France",France,,
1525404,TLN,"Toulon/Hyeres, France",France,,
1525501,TLR,"Tulare, CA",United States,California,
1525502,TLR,"Tulare, CA",United States,California,
1525601,TLS,"Toulouse, France",France,,
1525602,TLS,"Toulouse, France",France,,
1525603,TLS,"Toulouse, France",France,,
1525604,TLS,"Toulouse, France",France,,
1525605,TLS,"Toulouse, France",France,,
1525701,TLT,"Tuluksak, AK",United States,Alaska,
1525702,TLT,"Tuluksak, AK",United States,Alaska,
1525703,TLT,"Tuluksak, AK",United States,Alaska,
