GeoFips,GeoName,LineCode,Description,2011,2012,2013
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",684904,550397,906359
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",290500,272006,267092
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",10,    Utilities,6058052,(D),5864810
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",11,    Construction,14891650,16056859,18863370
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",12,    Manufacturing,70196959,74725013,71587852
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",13,      Durable goods manufacturing,(D),(D),36044345
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,(D),(D),35543507
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",34,    Wholesale trade,(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",35,    Retail trade,26584144,27774420,28754922
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),23967605
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",45,    Information,(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",113144825,122113683,124360342
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",51,      Finance and insurance,48858336,55073865,54392628
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,64286489,67039819,69967714
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",59,    Professional and business services,(D),(D),87050033
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",64,      Management of companies and enterprises,(D),(D),13452785
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,18713018,19729675,(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",47656202,49246005,50458791
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",69,      Educational services,(D),10781494,10966599
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",70,      Health care and social assistance,(D),38464511,39492192
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",20301295,21978588,23237028
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",79,      Accommodation and food services,(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",83,Government and government enterprises,52188066,52824764,54976862
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",,Addenda:,,,
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",87,Natural resources and mining,975404,822403,1173451
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",88,Trade,(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),29832414
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",90,Manufacturing and information,(D),(D),(D)
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,86064013,91604275,91624673
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",92,Private services-providing industries 3/,394709668,417159152,431062771
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",1,All industry total,145505300,152873532,162317708
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",2,  Private industries,129955870,136967199,145942444
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",3,"    Agriculture, forestry, fishing and hunting",(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",6,"    Mining, quarrying, and oil and gas extraction",2838229,2847235,2982367
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",10,    Utilities,937983,(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",11,    Construction,4846492,5318567,6746860
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",12,    Manufacturing,(D),(D),11875300
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",13,      Durable goods manufacturing,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",25,      Nondurable goods manufacturing,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",34,    Wholesale trade,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",35,    Retail trade,7579360,7912024,8215852
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",36,    Transportation and warehousing,(D),(D),6908578
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",45,    Information,12913308,(D),13323234
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",50,"    Finance, insurance, real estate, rental, and leasing",29465829,31449233,32874954
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",51,      Finance and insurance,10037535,(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",56,      Real estate and rental and leasing,19428294,(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",59,    Professional and business services,(D),(D),27247838
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",60,"      Professional, scientific, and technical services",15669106,16581703,(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",64,      Management of companies and enterprises,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",65,      Administrative and support and waste management and remediation services,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",68,"    Educational services, health care, and social assistance",(D),11210449,11802132
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",69,      Educational services,(D),(D),1859657
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",70,      Health care and social assistance,(D),(D),9942474
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",75,"    Arts, entertainment, recreation, accommodation, and food services",5773863,6204917,7121380
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",76,"      Arts, entertainment, and recreation",1695885,1782293,(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",79,      Accommodation and food services,4077978,4422624,(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",82,    Other services (except government and government enterprises),3170855,3447926,3648274
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",83,Government and government enterprises,15549430,15906333,16375265
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",,Addenda:,,,
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",87,Natural resources and mining,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",88,Trade,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",89,Transportation and utilities,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",90,Manufacturing and information,(D),(D),25198533
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",91,Private goods-producing industries 2/,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",92,Private services-providing industries 3/,(D),(D),(D)
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",1,All industry total,200051064,212159700,219845447
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",2,  Private industries,181591273,194115343,201750125
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",3,"    Agriculture, forestry, fishing and hunting",151491,166317,(D)
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",258446,252322,277081
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",10,    Utilities,2240122,(D),(D)
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",11,    Construction,5269985,5713950,6398678
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",12,    Manufacturing,34839248,39418486,43474300
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",13,      Durable goods manufacturing,29860828,34479828,37676554
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,4978420,4938658,5797747
